Headline,Source,Posted,Description,Link
Tesla Recalls 2 Million Vehicles Over Autopilot Issue. Here's What You Need to Know,CNET,2 days ago,More than 2 million Tesla vehicles have been recalled over a safety issue related to its Autopilot...
Tesla car recalls 2023: Check the full list of vehicle models recalled this year,USA TODAY via Yahoo Finance,3 days ago,Over 2 million Tesla vehicles were recalled Wednesday and the company will offering a free software...
Germany Ends Electric Vehicle Subsidies Abruptly In Latest Blow To Tesla,Investor's Business Daily,32 minutes ago,"Electric vehicle subsidies are ending in Germany abruptly, the government announced Saturday, a blow..."
"Tesla's largest recall won't fix Autopilot safety issues, experts say",Washington Post via Yahoo News,22 hours ago,Tesla this week agreed to issue a remote update to 2 million cars aimed at improving driver...
Tesla gains ultimate rival as a new EV ‘luxury super-sports sedan’ arrives in driveways: ‘This is a...,MSN News,1 day ago,"Sounds like it's your move, Tesla. Tesla gains ultimate rival as a new EV ‘luxury super-sports..."
Tesla's High-Profile Leak: Advanced Battery Technology Will Cure Production Hell,TechBullion,1 day ago,"As Tesla’s stock continues to show robust performance in the market, the recent leak of a memo from..."
Tesla's recall on its Autosteer technology could bolster lawsuits claiming the feature is dangerous:...,Business Insider via Yahoo News,9 hours ago,Tesla recalled 2 million vehicles equipped with its Autosteer feature in a move plaintiffs in a...
Tesla’s Autopilot under fire after recall and lawsuits,Interesting Engineering,2 hours ago,"Tesla, the world’s most valuable carmaker, is facing a legal backlash over its Autopilot system,..."
Tesla unveils Optimus Gen 2: its next generation humanoid robot,Electrek,4 days ago,"Tesla has unveiled “Optimus Gen 2”, a new generation of its humanoid robot that should be able to..."
Tesla release notes detail remedies to address NHTSA Autopilot “recall”,Teslarati,2 days ago,"By the time news of Tesla’s Autopilot “recall” was published earlier this week, the company was..."
Tesla Recalls 2 Million EVs Over Inadequate Autopilot Safety Alerts,PC Magazine,4 days ago,Tesla is preparing to issue a software update to nearly every Tesla sold in the US—an estimated 2...
Tesla releases details about the updated design for its Model 3 — including unique hood feature that...,MSN News,12 hours ago,"The upgraded Model 3 is available in Europe, but it is expected to eventually make it to the US..."
Tesla releases details about the updated design for its Model 3 — including unique hood feature that...,The Cool Down via Yahoo News,12 hours ago,"Tesla has integrated some snazzy new safety features into its updated Model 3, including an “active..."
Tesla issues massive recall of more than 2 million vehicles over autopilot safety concerns,NBC News via Yahoo News,4 days ago,"Tesla is recalling more than 2 million of its vehicles, nearly all its cars on the road in the U.S.,..."
Tesla recalls nearly all 2 million of its vehicles on US roads,CNN Business via AOL,4 days ago,Tesla is recalling nearly all 2 million of its cars on US roads to limit the use of its Autopilot...
"Tesla, Inc. (NASDAQ:TSLA) Shares Acquired by Indiana Trust & Investment Management CO",ETF DAILY NEWS,18 hours ago,"Indiana Trust & Investment Management CO boosted its stake in shares of Tesla, Inc. (NASDAQ:TSLA – Free Report) by 4.2% in the third quarter, according to its most recent ..."
"Tesla, Inc. (NASDAQ:TSLA) Stake Lessened by SOA Wealth Advisors LLC.",ETF DAILY NEWS,18 hours ago,"The institutional investor owned 4,857 shares of the electric vehicle producer’s stock after selling 505 shares during the quarter. Maryland State Retirement & Pension System boosted its stake ..."
Tesla’s Self-Driving Tech Has Competition,The Wall Street Journal,22 hours ago,HEARD ON THE STREET A mass recall of Tesla’s Autopilot feature and crisis at General Motors’ autonomous-taxi business might give the impression that...
Tesla Adjusts Foundation Series Cybertruck Delivery Timeline: New Cyberbeast Orders Expected After...,Benzinga,1 day ago,EV giant Tesla Inc TSLA delayed its timeline for delivering the Cybertruck Foundation series. What...
Tesla offers irresistible deal in effort to boost sales after tumultuous quarter: ‘The power of free...,The Cool Down via Yahoo News,23 hours ago,"If you’re in the market for an electric vehicle, you may be in luck. In an attempt to boost sales, ..."
Tesla signed a deal that could completely change how it powers its cars — here’s how the move could...,The Cool Down via Yahoo News,1 day ago,"As Tesla continues its reign as the United States’ most popular electric vehicle maker, demand for..."
Tesla driver to pay $23K in restitution for crash that killed 2 people,Honolulu Star-Advertiser,2 days ago,"LOS ANGELES >> A Tesla driver will pay more than $23,000 in restitution for the deaths of two people..."
Tesla Bull Adam Jonas Sees Elon Musk's EV Giant At The Center Of Rapid AI Innovation - Tesla...,Benzinga,1 day ago,Morgan Stanley analyst and Tesla Inc TSLA bull Adam Jonas sees the EV giant leading a ‘potential...
Tesla To Suspend Autosteer On Identifying Misuse Via New Software Update: Report - Tesla...,Benzinga,1 day ago,EV giant Tesla Inc TSLA will reportedly introduce a suspension policy that will restrict Autosteer...
Tesla driver to pay $23K in restitution for 2019 crash that killed 2,Pittsburgh Tribune-Review,1 day ago,"A Tesla driver will pay more than $23,000 in restitution for the deaths of two people during a 2019..."
"Tesla's expensive new Cybertruck may qualify for $7,500 E.V. tax credits",Reason.com,2 days ago,"In late November, Tesla Motors delivered the first 10 Cybertrucks to customers, over four years..."
"Tesla Model 3 may lose $7,500 tax credit in 2024 under new battery rules",Ars Technica,2 days ago,"Tesla has engaged in a series of price cuts over the past year or so, but it might soon want to..."
Tesla Recalls Autopilot Software in 2 Million Vehicles,New York Times,4 days ago,Tesla’s reputation for making technologically advanced cars suffered a blow on Tuesday when the...
"Tesla Stands Out As 'Only Investable EV Play' Amid Rival Cutbacks, Says Gary Black: 'Find Me Another...",Investing.com,2 days ago,"Tesla Stands Out As 'Only Investable EV Play' Amid Rival Cutbacks, Says Gary Black: 'Find Me Another..."
Tesla recalls 2 million vehicles over crash fears,The Telegraph via Yahoo Finance,4 days ago,Tesla will issue updates to more than 2 million cars to prevent drivers abusing its Autopilot system after hundreds of crashes occurred when using the...
Tesla recalls nearly all vehicles on US roads over lack of Autopilot safeguards,Reuters,4 days ago,Tesla (TSLA.O) is recalling over 2 million vehicles in the U.S. to install new safeguards in its...
Tesla to restrict Autopilot's best feature following recall,TechCrunch,4 days ago,Tesla is limiting the use of its Autopilot driver-assistance software as part of a...
Tesla’s Engineers Are Less Boastful About Autopilot Than Elon Musk,The Wall Street Journal,2 days ago,AUTOS The Autopilot system that prompted Tesla recall of two million vehicles this week has been the...
Tesla recalls nearly all vehicles sold in US to fix system that monitors drivers using Autopilot,The Beatrice Daily Sun,4 days ago,Tesla recalled nearly all vehicles sold in the U.S. on Wednesday — more than 2 million — to update...
Tesla Autopilot Recall Threatens Its Defense in Lawsuits Over Crashes,Insurance Journal,2 days ago,Tesla Inc.’s biggest vehicle recall ever threatens to hurt the company’s defense in several...
Tesla's Autopilot Recall: What Went Wrong with the Self-Driving Dream? - Tesla (NASDAQ:TSLA),Benzinga,2 days ago,"Tesla, Inc TSLA is battling a web of legal challenges and controversies surrounding its Autopilot..."
Tesla's Semis aren't part of massive recall - TheTrucker.com,The Trucker,3 days ago,"Tesla is recalling nearly all vehicles sold in the U.S., more than 2 million, to update software and..."
Tesla Recalling 2 Million US Vehicles Over Autopilot Safeguards,Insurance Journal,4 days ago,Tesla is recalling just over 2 million vehicles in the United States fitted with its Autopilot...
Tesla Sweden vs IF Metall Strike Recap [Editorial],Teslarati,2 days ago,"Tesla Sweden and IF Metall conflict is hitting its third month, and a lot has happened since it began. IF Metall has gained a lot of support within..."
Tesla reintroduces a controversial rule for Cybertruck customers,TheStreet.com,4 days ago,"Early last month, Tesla added in a clause to its terms and conditions agreement for customers..."
Tesla announces its biggest recall ever to fix autopilot flaws,Dallas Morning News,4 days ago,Tesla Inc. will fix more than 2 million vehicles — its biggest recall ever — after the top U.S....
Tesla Investor Ross Gerber Asks Why EV Giant Isn't Making 'Any Effort' To Fix Misleading Media...,Investing.com,3 days ago,Tesla Investor Ross Gerber Asks Why EV Giant Isn't Making 'Any Effort' To Fix Misleading Media...
Tesla Recalls Nearly All Vehicles on US Roads Over Lack of Autopilot Safeguards,NowThis,3 days ago,Tesla is recalling over 2 million vehicles in the U.S. to install new safeguards in its Autopilot...
Tesla shows off new Optimus robot poaching an egg,The Independent US via AOL,4 days ago,"Tesla has unveiled the latest version of its Optimus robot, demonstrating new hands that allow it to perform delicate tasks like cooking eggs. Tesla’s..."
Tesla Gets Serious About Cybertruck Orders With Non-Refundable $1K Deposit,PC Magazine,4 days ago,"Tesla is asking Cybertruck reservation holders to put down a $1,000 non-refundable deposit in an..."
Tesla recalls more than 2 million vehicles over autopilot safety concerns,TODAY via Yahoo News,4 days ago,Tesla has recalled more than 2 million vehicles after its autopilot system in a range of models was...
"Tesla Rethinks Auto Pilot Feature, Recalls Nearly All Of It's Vehicles",The Blast,4 days ago,Tesla is taking nearly all its vehicles off US roads following issues with its Autopilot system! The...
Tesla: New 'Tap To Park' Feature - Replacing 'Park Seek' Plan,Men's Journal,5 days ago,"Tesla's new 'Tap to Park' feature, evolving from the 'Park Seek' concept, marks a significant step..."
"Tesla Stands Out As 'Only Investable EV Play' Amid Rival Cutbacks, Says Gary Black: 'Find Me Another...",Benzinga,2 days ago,"As Tesla, Inc. TSLA shares closed above the $250 mark for the first time in approximately a month,..."
Tesla appears to be ramping up Cybertruck production as fleet is spotted,Electrek,2 days ago,Tesla appears to be ramping up Cybertruck production early as a decent fleet has been spotted at...
Tesla Recalls 2 Million Cars. The Stock Is Down. It Shouldn’t Be.,Barrons.com,4 days ago,"FEATURE Tesla is recalling two million vehicles, essentially all theTesla vehicles on U.S. roads...."
Tesla Stock Can Soar in 2024 if It Does These 3 Things,Motley Fool via Yahoo Finance,2 days ago,"Tesla (NASDAQ: TSLA) stock has crushed the market so far this year. However, it's still down over..."
Tesla Sweden strike estimate denied by IF Metall,Teslarati,3 days ago,Tesla Club Sweden took it upon itself to calculate how many workers have actually joined the IF Metall strike. Tesla Club Sweden calculated that 13 IF...
Tesla secures $135 million in incentive for Gigafactory Mexico despite delaying the factory,Electrek,2 days ago,Tesla has secured roughly $135 million worth of incentives for Gigafactory Mexico despite delaying...
Tesla faces tricky road in Scandinavia as institutional investors join labor fight,Seeking Alpha,17 hours ago,"Tesla faces pressure from Nordic investors over its approach to working with unions, as unions in..."
Tesla Stock Under Pressure From Model 3 Tax Credit Loss; Updated Optimus Robot,Investor's Business Daily,4 days ago,Tesla is signaling certain Model 3 trims will lose Inflation Reduction Act (IRA) tax credits in 2024...
Tesla recalls 2 million cars to fix Autopilot safety flaws,The Idaho Statesman,4 days ago,Tesla Inc. will fix more than 2 million vehicles — its biggest recall ever — after the top US...
Tesla Drivers Upset That Government Wants Their Cars to Be Safer,Rolling Stone,4 days ago,Tesla owners on Wednesday learned that the automaker was recalling some 2 million vehicles amid a...
Tesla recalls nearly all U.S. vehicles over lack of Autopilot safeguards,Nikkei Asian Review,4 days ago,Tesla is recalling over 2 million vehicles in the U.S.to install new safeguards in its Autopilot...
Tesla recalling 2m U.S. vehicles over lack of Autopilot safeguards,Nikkei Asian Review,4 days ago,Tesla is recalling just over two million vehicles in the U.S. fitted with its Autopilot advanced...
Tesla recalls nearly all of its 2 million vehicles on US roads,Rolling Out,4 days ago,Tesla reportedly recalled nearly every one of its two million cars on the road in the United States...
Tesla to get $153 million in incentives for planned Mexico factory,Dallas Morning News,3 days ago,Tesla Inc. will receive $153 million in incentives from the Mexican state of Nuevo Leon to build its...
Tesla Model Y Yearlong Review: Superchargers Make the Difference,MotorTrend,4 days ago,Tesla gets well-deserved credit for proving that electric vehicles are viable both as cars and as a business. It was the Supercharger network. A recent repeat road trip in ...
Tesla Cybertruck production at Giga Texas is slowly ramping up,Teslarati,2 days ago,Tesla is working on producing some of the more premium trims as it has offered “Foundation Series”...
Tesla Cybertruck Outperforms Lamborghini Urus,Motorious via Yahoo News,2 days ago,"It's a shocking drag race. In an unexpected matchup, the Tesla Cybertruck, known for its futuristic design and impressive specs, went head-to-head with..."
Tesla Is Recalling Almost Every Car It Has Ever Sold in the U.S.,Robb Report via Yahoo News,4 days ago,Tesla’s latest recall is also its biggest. The EV giant is recalling two million cars in the U.S....
Tesla (TSLA) Recalls 2M Vehicles to Fix Autopilot Features,Zacks via Yahoo Finance,2 days ago,Tesla TSLA is recalling more than 2 million vehicles after the U.S. safety regulator cited safety...
Tesla Receives Land-Use Permits For Gigafactory In Mexico's Nueva Leon - Tesla (NASDAQ:TSLA),Benzinga,4 days ago,Tesla Inc TSLA has received land-use permits from Mexico’s federal environment ministry to build a...
Tesla explains new Autopilot nag forced by the NHTSA recall,Electrek,2 days ago,Tesla has started to push the software update that includes the “fix” of the NHTSA Autopilot recall...
Tesla Recalls Over 2 Million Vehicles For Faulty Autopilot Controls,Road & Track via Yahoo News,4 days ago,Tesla Recalls Over 2 Million VehiclesTesla Tesla is recalling nearly every car it has sold in the...
Tesla recalling 2 million US vehicles over Autopilot safeguards By Reuters,Investing.com,4 days ago,Tesla recalling 2 million US vehicles over Autopilot safeguards
Tesla charging team collaborates with BWH Hotels in North America,Teslarati,3 days ago,Tesla and BWH Hotels recently announced a collaboration to install EV charging stations across...
Tesla Initiates Major Recall for Autopilot System Update By Quiver Quantitative,Investing.com,4 days ago,Tesla Initiates Major Recall for Autopilot System Update
"Tesla Bull Gary Black Says Recalls Won't Hurt Valuation, But He's Worried About Something Else:...",Benzinga,3 days ago,"Tesla Inc TSLA investor and Future Fund Managing Partner, Gary Black, dismissed the company’s latest..."
"Tesla FSD Duel: Bull Ross Gerber Hails It As Life-Saving Tech, Bear Gordon Johnson Tells Him To...",Benzinga,4 days ago,Tesla Inc TSLA bull Ross Gerber and bear Gordon Johnson engaged in a war of words on Tuesday over...
Tesla Unveils New Humanoid Robot,Futurism via Yahoo News,4 days ago,"Optimus Prime Tesla has unveiled its second-generation Optimus humanoid robot, a marked improvement over the stiff, immobile robot that awkwardly..."
Tesla seeking government affairs specialist in Sweden amid union protest,Teslarati,2 days ago,"It appears that Tesla is looking to strengthen its legal team in Sweden, with the company posting a..."
Tesla recalls more than 2m cars to fix Autopilot safety fault By Proactive Investors,Investing.com,4 days ago,Tesla recalls more than 2m cars to fix Autopilot safety fault
Tesla issues important upgrade to models via software update: ‘That is an impressive improvement’,The Cool Down via Yahoo News,4 days ago,Tesla is banking on its software capabilities as being the key sales driver for the company in the...
Tesla recalls 2 million cars to fix Autopilot safety flaws,Fairfield-Suisun Daily Republic,4 days ago,Tesla Inc. will fix more than 2 million vehicles – its biggest recall ever – after the top US...
Tesla's new luxury rival introduces its first electric SUV,TheStreet.com,2 days ago,Tesla seems to have new rivals entering the electric vehicle market and long-time competitors...
"Tesla Says It's Not Fraud, It's Free Speech",Gizmodo via Yahoo Finance,4 days ago,"Tesla is under fire by California’s Department of Motor Vehicles over the company’s ads claiming its cars are completely self-driving, which they’re not...."
"Tesla Strikes Back At Washington Post Over 'Egregious' Autopilot Article, Says 'Morally' Obligated...",Benzinga,5 days ago,EV giant Tesla Inc TSLA on Monday reiterated the safety of its Autopilot driver assistance system...
"Tesla partners with Uber to offer $3,000 discount on its electric cars to drivers",Electrek,4 days ago,Tesla is partnering with Uber to offer its electric cars directly to drivers with discounts up to...
Tesla Devises Clever Workaround For Undelivered License Plates Problem In Sweden Amid Union Strikes...,Benzinga,3 days ago,Tesla Inc TSLA has reportedly found a new solution to ensure a steady supply of license plates for...
Tesla readies Cybertruck buyers to 'Prepare for Delivery',Teslarati,6 days ago,Tesla is readying Cybertruck buyers to “Prepare for Delivery” in a new message to owners that the...
Tesla's New Report Says Powerwall With Solar Outperforms Traditional Generators - Tesla...,Benzinga,2 days ago,"Tesla Inc. TSLA has presented a comparative study, suggesting its Powerwall combined with solar..."
Tesla Recalls Millions Of Cars To Patch Mode That Could Kill You,Kotaku,4 days ago,Tesla is recalling and updating almost all of its two million electric cars sold in the United...
Tesla (NASDAQ:TSLA) Given New $260.00 Price Target at Deutsche Bank Aktiengesellschaft,ETF DAILY NEWS,3 days ago,Tesla (NASDAQ:TSLA – Get Free Report) had its price objective decreased by research analysts at Deutsche Bank Aktiengesellschaft from $275.00 to $260.00 in a research report ...
"Tesla Shows Off Optimus Gen 2 Robot With Improved Hands, Slimmer Figure",Bloomberg,4 days ago,"Tesla Inc. posted a video showing improvements it’s made to its humanoid robot prototype, capping..."
Tesla Recalls 2 Million Cars to Fix Autopilot Safety Defect,The Daily Beast,4 days ago,"Tesla is recalling nearly all its vehicles sold in the U.S., amounting to over 2 million cars, after..."
Tesla claims Powerwall with solar is cheaper than a backup generator,Electrek,3 days ago,Tesla has released a new comparison report claiming Powerwall with solar is cheaper than a...
Tesla Issues Massive Recall Of Over 2M Vehicles Over Autosteer Concerns - Tesla (NASDAQ:TSLA),Benzinga,4 days ago,EV giant Tesla Inc TSLA is recalling 2.03 million vehicles equipped with all versions of Autosteer...
Tesla Cost of Ownership & Is It Worth It?,Investopedia,3 days ago,"Tesla (TSLA) has become one of the world's most popular car manufacturers. In fact, it's one of the largest auto companies by market value. The company..."
Tesla to Recall 2 Million Vehicles over Autopilot Flaws,Car and Driver via AOL,4 days ago,Tesla Recalls 2 Million Cars over Autopilot FlawsTesla Tesla is recalling more than 2 million...
Tesla Giga Mexico gets $153M incentive from Nuevo León,Teslarati,2 days ago,Tesla Gigafactory Mexico will receive $153 million worth of incentives from Nuevo León as state...
Tesla recalls 2 million cars to fix Autopilot safety flaws,Belleville News-Democrat,4 days ago,Tesla Inc. will fix more than 2 million vehicles — its biggest recall ever — after the top US auto-safety regulator determined its driver-assistance system Autopilot doesn ...
Tesla to recall 2m electric vehicles over Autopilot feature,China Daily,3 days ago,Tesla is recalling more than 2 million electric vehicles in the United States to update its Autopilot driver-assistance software after a federal safety regulator cited safety ...
Tesla Recalls 2 Million Cars. The Stock Is Down. It Shouldn’t Be.,Barrons.com,4 days ago,Tesla is recalling 2 million vehicles to update its Autosteer driver-assistance function. It’s a big...
Tesla announces its coming to Qatar,Electrek,5 days ago,Tesla has announced that it is expanding its electric vehicle business to Qatar with the launch of its online configurator in the country. Since...
Tesla Critics Say the Autopilot Recall Fixes Don't Go Far Enough,Insurance Journal,3 days ago,Tesla Inc.’s decision to fix more than 2 million vehicles’ Autopilot driver-assistance systems after...
Tesla Is Recalling Over 2 Million Cars Due To Autopilot Feature Issues,Hip-Hop Wired,2 days ago,Tesla’s reputation as a car manufacturer might be in jeopardy. The brand has just recalled 2 million...
Tesla Recalls Over 2 Million Vehicles For Faulty Autopilot Controls,Road and Track,4 days ago,Tesla is recalling nearly every car it has sold in the U.S. due to concerns over the Autopilot...
Tesla recalls more than 2 million domestic vehicles following federal probe,Austin American-Statesman,4 days ago,Tesla is recalling nearly all the vehicles it has sold in the U.S. to patch issues with the cars'...
Tesla’s Appeal Over Swedish License Plates Suffers New Setback,Bloomberg,4 days ago,Tesla Inc. was dealt another legal blow in its Nordic labor dispute after an appeals court in Sweden...
Tesla CEO Elon Musk Says Microsoft Word 'Scolds' Users For Language Deemed Not 'Inclusive' - Tesla...,Benzinga,2 days ago,Loading... Loading... Tesla Inc TSLA CEO Elon Musk expressed frustration with Microsoft Corp ‘s MSFT...
Tesla Stock Under Pressure From Model 3 Tax Credit Loss; Updated Optimus Robot,Investor's Business Daily,4 days ago,"Tesla also will issue an Autopilot ""recall"" to over 2 million vehicles, per the NHTSA."
Tesla drivers in Connecticut react to recall over autopilot feature,NBC Connecticut,4 days ago,Tesla is recalling more than two million of its vehicles after a federal probe into its autopilot...
Tesla's recall of 2 million vehicles reminds us how far driverless car AI still has to go,The Conversation,3 days ago,Tesla has recalled 2 million US vehicles over concerns about its autopilot function. It comes just a few days after a whistle-blowing former Tesla employee ...
Tesla to Recall 2 Million Vehicles over Autopilot Flaws,Car and Driver,4 days ago,Tesla is recalling more than 2 million vehicles spanning all of its models reaching back to the 2012...
Tesla Brings Matte Black Cybertruck To Art Basel In Miami,Carscoops,3 days ago,"While Tesla insists that the stainless steel body of the Cybertruck is exceptionally strong, we..."
Tesla Installing New Autopilot Software in 2 Million Cars to Prevent 'Over Trust' by Drivers,Times of San Diego,3 days ago,Tesla will install new Autopilot software in just over two million cars in the United States over...
Tesla recalls more than 2 million vehicles over autopilot safety concerns,New York Daily News,4 days ago,Tesla is recalling nearly all vehicles sold in the United States — upwards of 2 million — after a...
Tesla's Swedish Struggle Rises! Union Reportedly Halts Waste Collection Amid Rally For Employee...,Benzinga,4 days ago,"Tesla, Inc. TSLA faces labor pressure in Sweden as the Transport Workers' Union reportedly announced..."
Tesla Recalls More Than 2 Million Vehicles,Automotive Fleet,4 days ago,"Tesla, Inc. (Tesla) is recalling approximately 2,031,220 vehicles, which is nearly all of Tesla's vehicle sales in the United States ..."
"Tesla Responds To Safety Worries Over Cybertruck's Design, Says Size Doesn't Matter When It Comes To...",Benzinga,4 days ago,"Tesla Inc TSLA on Tuesday sought to alleviate safety concerns around its Cybertruck, weeks after..."
Tesla offers new discounts on electric vehicles with conditions,TheStreet.com,3 days ago,Tesla creates a partnership to give discounts on its Model 3 and Model Y vehicles. Tesla (TSLA) - Get Free Report has been busy working hard to reach its ...
Tesla Giga Shanghai's Model Y production rate is quickly outpacing Model 3,Teslarati,2 days ago,"Tesla Gigafactory Shanghai is producing Model Y vehicles at a rate that is quickly outpacing that of the Model 3, showing the demand for the all-electric crossover is larger ..."
Tesla's humanoid robot Optimus Gen 2 shows major improvements,Homenewshere.com,4 days ago,"Tesla's bot prototype, the ""Optimus Gen 2,"" is designed to handle boring, repetitive, and dangerous tasks, according to CEO Elon Musk."
Tesla’s Nordic Dispute Sparks Angry Letter From Money Managers,Bloomberg,3 days ago,Tesla Inc.’s showdown with trade unions across the Nordic region is threatening to spill over to the...
Tesla Spinning Its Wheels: Snow-Challenged Cybertruck Gets Rescued By Rival Pickup - Tesla...,Benzinga,5 days ago,"Tesla's TSLA new Cybertruck, an electric pickup, seemingly struggled off-road driving in snow. What..."
Tesla Recalls More Than 2 Million Cars Over Autopilot Notifications,AP News Archive,4 days ago,"Tesla has recalled more than 2 million cars, according to NHSTA documents, to add warnings and..."
Tesla Cybertruck Parts Catalog Reveals Clues About Repair Costs,InsideEVs,2 days ago,"Now that Tesla has a few of its flagship Toblerone-shaped trucks on the road, it's time to get service departments ready to wrench on them. The folks over at Cybertruck Owners ..."
Tesla To Recall 2 Million Cars for Defective Autopilot Monitoring System,Investopedia,4 days ago,Tesla Inc. (TSLA) will recall more than 2 million vehicles in the U.S. to install new safeguards for...
Tesla Gets $153 Million Incentive in Mexico for Its Next Factory,Bloomberg,3 days ago,Tesla Inc. will receive 2.63 billion pesos ($153 million) in incentives from the Mexican state of...
Tesla Giga Mexico construction gets permit approval,Teslarati,4 days ago,"Tesla Gigafactory Mexico received approval for construction in the form of federal land use permits. According to Milenio, The Department of Natural Resources and Wildlife ..."
"Tesla unveils 2023 updates with automated 911 calls, custom horn sounds",FOX 10 Phoenix,4 days ago,"A Tesla spontaneously caught fire last week while stored in a high-end auto yard, prompting responding firefighters to grab the attention of Elon Musk, head of the electric ..."
Tesla formally launches vehicle orders in Qatar,Teslarati,5 days ago,"Tesla has formally opened its online Design Studio in Qatar, marking a significant step in the company’s expansion into the Middle East. The update allows Qatari customers ..."
"Tesla Autopilot recall affects 193,000 vehicles in Canada",Automotive News,3 days ago,"Tesla's recall over its Autopilot function will affect about 193,000 vehicles in Canada. Transport Canada says Tesla will provide an over-the-air software ..."
"Tesla shortens expected delivery waiting time for Model 3, Y in China",Reuters,3 days ago,"Tesla has shortened the expected delivery waiting time for its Model 3 and Model Y in China to two to six weeks from six to nine weeks previously, according to its Chinese website on Thursday."
"Tesla Teams Up With Uber, Offer Drivers Up To $3K in Savings On Electric Cars - Tesla (NASDAQ:TSLA),...",Benzinga,3 days ago,"Tesla Inc. TSLA on Wednesday forged a partnership with Uber UBER to offer its electric cars to Uber drivers at a discounted rate, with savings of up to $3,000. What Happened ..."
Tesla Recalls 2 Mln Cars To Fix Autopilot Safety Issues,RTT News,4 days ago,"Tesla Inc. is recalling more than 2 million vehicles in the United States to fix safety issues in its Autopilot advanced driver-assistance system. The recall, by the luxury ..."
"Tesla signals Model Y also losing full $7,500 tax credit",Electrek,4 days ago,"Tesla is signaling that along with two trims of Model 3 losing all their federal tax credit next year, Model Y is also “likely” to lose part of the tax credits. Just earlier ..."
Tesla recalls 2 million vehicles over Autopilot system - CSMonitor.com,The Christian Science Monitor,4 days ago,Tesla recalled over 2 million vehicles in the United States fitted with its Autopilot advanced driver-assistance system. The National Highway Traffic Safe…
Tesla’s Nordic Dispute Sparks Angry Letter From Money Managers,Bloomberg Law,3 days ago,Tesla Inc.’s showdown with trade unions across the Nordic region is threatening to spill over to the financial markets after a group of pension funds and asset managers sent a letter to Elon Musk urging him to change course.
Tesla recalls 2 million cars after regulators find that its Autopilot doesn't do enough to stop...,Business Insider via Yahoo News,4 days ago,Tesla CEO Elon Musk.Pool/Getty Images Tesla is recalling more than 2 million cars with an...
Tesla tweaks autopilot software after regulators recall more than 2 million cars,CNBC,4 days ago,"Tesla is recalling around 2 million of its vehicles in the U.S. to fix Autopilot features that auto safety regulators found to be confusing to drivers, or too easy for them ..."
Tesla is developing a ‘gas station’ of the future unlike any you’ve seen before: ‘Grease meets The...,The Cool Down via Yahoo News,4 days ago,Tesla is building a venue in Hollywood that could host Fonzie and George Jetson with equal interest....
Tesla recalls over 2M EVs to fix faulty Autopilot By Investing.com,Investing.com,4 days ago,Tesla recalls over 2M EVs to fix faulty Autopilot
Tesla Recalls Over 2 Million Cars Equipped With Autopilot | Cars.com,Cars.com,4 days ago,Tesla is recalling over 2 million vehicles equipped with its Autopilot feature because of what NHTSA...
Tesla recalls nearly every one of its vehicles on U.S. roads,Deseret News via Yahoo News,4 days ago,Electric vehicle maker Tesla issued a recall notice on Tuesday that impacts over 2 million vehicles...
Tesla recalls nearly all U.S. vehicles,Colorado Springs Gazette,3 days ago,"DETROIT • Tesla is recalling nearly all vehicles sold in the U.S., more than 2 million, to update software and fix a defective system that’s supposed to ensure drivers are ..."
Tesla Recalls 2 Million Vehicles—Nearly Every Car They've Sold in the U.S.,Parade via AOL,4 days ago,Tesla car Tesla just announced a huge recall of more than 2 million vehicles in the U.S. after an...
